@rupertmurdoch,1,0,0
@zeynep,2,0,0
@hmason,3,0,0
@jdalrymple,4,0,0
@rabois,5,0,0
@bgurley,6,0,0
@counternotions,7,0,0
@EvelynRusli,8,0,0
@jeffweiner,9,0,0
@emilychangtv,10,0,0
@tristanwalker,11,0,0
@seriouspony,12,0,0
@brooke,13,0,0
@rafat,14,0,0
@gaberivera,15,0,0
@baratunde,16,0,0
@benbajarin,17,0,0
@BBCRoryCJ,18,0,0
@mat,19,0,0
@alexia,20,0,0
@sarahcuda,21,0,0
@dens,22,0,0
@danprimack,23,0,0
@joannastern,24,0,0
@joannastern,25,0,0
@stevesilberman,26,0,0
@pkafka,27,0,0
@Ihnatko,28,0,0
@randfish,29,0,0
@geoff_deweaver,30,0,0
@marissamayer,31,0,0
@rrhoover,32,0,0
@MartinSFP,33,0,0
@joelgascoigne,34,0,0
@mims,35,0,0
@reckless,36,0,0
@csoghoian,37,0,0
@LanceUlanoff,38,0,0
@Bill_Gross,39,0,0
@cdixon,40,0,0
@ruhanirabin,41,0,0
@bryankramer,42,0,0
@joshuatopolsky,43,0,0
@charlesarthur,44,0,0
@marcoarment,45,0,0
@Pogue,46,0,0
@kevinrose,47,0,0
@SteveCase,48,0,0
@sacca,49,0,0
@jonrussell,50,0,0
@zpower,51,0,0
@mikeisaac,52,0,0
@tapbot_paul,53,0,0
@markgurman,54,0,0
@edbott,55,0,0
@asymco,56,0,0
@maryjofoley,57,0,0
@mikebutcher,58,0,0
@reneritchie,59,0,0
@hnshah,60,0,0
@Benioff,61,0,0
@acedtect,62,0,0
@KimDotcom,63,0,0
@bfeld,64,0,0
@loic,65,0,0
@DHH,66,0,0
@msuster,67,0,0
@ChrisPirillo,68,0,0
@fredwilson,69,0,0
@mattcutts,70,0,0
@ariannahuff,71,0,0
@tomwarren,72,0,0
@alex,73,0,0
@thurrott,74,0,0
@fmanjoo,75,0,0
@shanselman,76,0,0
@tim_cook,77,0,0
@parislemon,78,0,0
@davemcclure,79,0,0
@dannysullivan,80,0,0
@Cmdr_Hadfield,81,0,0
@karaswisher,82,0,0
@timoreilly,83,0,0
@hunterwalk,84,0,0
@paulg,85,0,0
@davewiner,86,0,0
@nickbilton,87,0,0
@nycjim,88,0,0
@pmarca,89,0,0
@waltmossberg,90,0,0
@ezraklein,91,0,0
@anildash,92,0,0
@BillGates,93,0,0
@BenedictEvans,94,0,0
@mathewi,95,0,0
@elonmusk,96,0,0
@Scobleizer,97,0,0
@om,98,0,0
@levie,99,0,0
@jowyang,100,0,0
@jack,101,0,0
